Date,State_FIPS,Administered_Doses_65Plus_Daily,Series_Complete_65Plus_Daily,Booster_Doses_18Plus_Daily,Series_Complete_18Plus_Daily,Administered_Doses_18Plus_Daily,Census2019_18PlusPop,Deaths,Confirmed,Province_State,FIPS,Lat,Long_
2021-05-05,35,4.0,1035.0,0.0,5241.0,22.0,1620991.0,2,205,New Mexico,35,34.8405,-106.2485
2021-05-05,36,14246.0,14073.0,0.0,105313.0,64528.0,15425262.0,55,2402,New York,36,42.1657,-74.9481
2021-05-05,37,1376.0,3212.0,0.0,34150.0,12234.0,8187369.0,21,1468,North Carolina,37,35.6301,-79.8064
2021-05-05,38,70.0,75.0,0.0,756.0,593.0,581891.0,3,137,North Dakota,38,47.5289,-99.784
2021-05-05,39,54.0,60.0,0.0,538.0,371.0,9111081.0,19,1450,Ohio,39,40.3888,-82.7649
2021-05-05,40,619.0,1128.0,0.0,8845.0,4176.0,3004733.0,44,225,Oklahoma,40,35.5653,-96.9289
2021-05-05,41,868.0,1790.0,0.0,18029.0,9423.0,3351175.0,1,806,Oregon,41,44.572,-122.0709
2021-05-05,42,8037.0,11912.0,0.0,62435.0,45536.0,10167376.0,49,2807,Pennsylvania,42,40.5908,-77.2098
2021-05-05,44,0.0,143.0,0.0,2027.0,0.0,854866.0,1,268,Rhode Island,44,41.6809,-71.5118
2021-05-05,45,1219.0,2157.0,0.0,17533.0,9028.0,4037531.0,12,614,South Carolina,45,33.8569,-80.945
2021-05-05,46,11.0,144.0,0.0,1651.0,87.0,667558.0,3,99,South Dakota,46,44.2998,-99.4388
2021-05-05,47,2784.0,10250.0,0.0,62630.0,17656.0,5319123.0,16,1205,Tennessee,47,35.7478,-86.6923
2021-05-05,48,0.0,0.0,0.0,0.0,0.0,21596071.0,61,2493,Texas,48,31.0545,-97.5635
2021-05-05,49,412.0,643.0,0.0,15038.0,7017.0,2274774.0,2,480,Utah,49,40.15,-111.8624
2021-05-05,50,115.0,161.0,0.0,1998.0,2323.0,509984.0,0,56,Vermont,50,44.0459,-72.7107
2021-05-05,51,941.0,1574.0,0.0,19164.0,10287.0,6674671.0,21,842,Virginia,51,37.7693,-78.17
2021-05-05,53,1116.0,1614.0,0.0,23488.0,17378.0,5951832.0,11,1326,Washington,53,47.4009,-121.4905
2021-05-05,54,27.0,28.0,0.0,136.0,115.0,1432580.0,12,405,West Virginia,54,38.4912,-80.9545
2021-05-05,55,1519.0,2439.0,0.0,28616.0,11943.0,4555837.0,14,775,Wisconsin,55,44.2685,-89.6165
2021-05-05,56,69.0,164.0,0.0,1118.0,400.0,445025.0,0,71,Wyoming,56,42.756,-107.3025
2021-05-05,66,0.0,5.0,0.0,56.0,0.0,129299.0,1,12,Guam,66,13.4443,144.7937
2021-05-05,72,8.0,13.0,0.0,280.0,147.0,2620965.0,11,141,Puerto Rico,72,18.2208,-66.5901
2021-05-06,10,6.0,8.0,0.0,143.0,137.0,770192.0,1,171,Delaware,10,39.3185,-75.5071
2021-05-06,11,187.0,137.0,0.0,2434.0,1243.0,577581.0,1,39,District of Columbia,11,38.8974,-77.0268
2021-05-06,12,96.0,95.0,0.0,1104.0,1380.0,17247808.0,71,4504,Florida,12,27.7663,-81.6868
2021-05-06,13,25.0,14.0,0.0,449.0,1061.0,8113542.0,21,1213,Georgia,13,33.0406,-83.6431
2021-05-06,15,0.0,0.0,0.0,0.0,0.0,1116004.0,1,128,Hawaii,15,21.0943,-157.4983
2021-05-06,16,18.0,31.0,0.0,119.0,115.0,1338864.0,1,166,Idaho,16,44.2405,-114.4788
2021-05-06,17,15.0,14.0,0.0,346.0,692.0,9853946.0,40,1778,Illinois,17,40.3495,-88.9861
2021-05-06,18,11.0,27.0,0.0,274.0,140.0,5164245.0,6,1247,Indiana,18,39.8494,-86.2583
2021-05-06,19,11.0,8.0,0.0,109.0,80.0,2428229.0,18,389,Iowa,19,42.0115,-93.2105
2021-05-06,20,596.0,869.0,0.0,8781.0,4250.0,2213064.0,0,16,Kansas,20,38.5266,-96.7265
2021-05-06,21,73.0,128.0,0.0,1377.0,806.0,3464802.0,6,653,Kentucky,21,37.6681,-84.6701
2021-05-06,22,3543.0,7025.0,0.0,50733.0,23261.0,3561164.0,7,407,Louisiana,22,31.1695,-91.8678
2021-05-06,23,280.0,212.0,0.0,2166.0,2930.0,1095370.0,2,318,Maine,23,44.6939,-69.3819
2021-05-06,24,104.0,91.0,0.0,2243.0,1117.0,4710993.0,9,578,Maryland,24,39.0639,-76.8021
2021-05-06,25,2798.0,3359.0,0.0,55838.0,35302.0,5539703.0,7,1161,Massachusetts,25,42.2302,-71.5301
2021-05-06,26,15.0,27.0,0.0,327.0,295.0,7842924.0,123,4113,Michigan,26,43.3266,-84.5361
2021-05-06,27,11.0,12.0,0.0,506.0,159.0,4336475.0,13,1651,Minnesota,27,45.6945,-93.9002
2021-05-06,28,20.0,40.0,0.0,436.0,175.0,2277566.0,3,214,Mississippi,28,32.7416,-89.6787
2021-05-06,29,38.0,38.0,0.0,260.0,217.0,4766843.0,4,645,Missouri,29,38.4561,-92.2884
2021-05-06,30,355.0,449.0,0.0,3608.0,1588.0,840190.0,2,133,Montana,30,46.9219,-110.4544
2021-05-06,31,219.0,658.0,0.0,9384.0,1966.0,1458334.0,4,213,Nebraska,31,41.1254,-98.2681
2021-05-06,32,882.0,1311.0,0.0,14351.0,7430.0,2387517.0,3,394,Nevada,32,38.3135,-117.0554
2021-05-06,33,198506.0,97403.0,0.0,181619.0,553695.0,1104458.0,3,253,New Hampshire,33,43.4525,-71.5639
2021-05-06,34,2908.0,5831.0,0.0,48015.0,23652.0,6943612.0,33,1413,New Jersey,34,40.2989,-74.521
2021-05-06,35,11.0,1489.0,0.0,11486.0,126.0,1620991.0,4,273,New Mexico,35,34.8405,-106.2485
2021-05-06,36,10940.0,13196.0,0.0,121387.0,66267.0,15425262.0,34,2643,New York,36,42.1657,-74.9481
2021-05-06,37,449.0,1036.0,0.0,12464.0,4906.0,8187369.0,17,1798,North Carolina,37,35.6301,-79.8064
2021-05-06,38,84.0,100.0,0.0,998.0,682.0,581891.0,2,121,North Dakota,38,47.5289,-99.784
2021-05-06,39,2240.0,4323.0,0.0,37776.0,13749.0,9111081.0,14,1387,Ohio,39,40.3888,-82.7649
2021-05-06,40,58.0,122.0,0.0,978.0,616.0,3004733.0,0,148,Oklahoma,40,35.5653,-96.9289
2021-05-06,41,1429.0,1932.0,0.0,16977.0,13648.0,3351175.0,5,745,Oregon,41,44.572,-122.0709
2021-05-06,42,4506.0,7253.0,0.0,37735.0,26229.0,10167376.0,60,2469,Pennsylvania,42,40.5908,-77.2098
2021-05-06,44,0.0,359.0,0.0,3474.0,0.0,854866.0,3,187,Rhode Island,44,41.6809,-71.5118
2021-05-06,45,14.0,18.0,0.0,270.0,245.0,4037531.0,22,671,South Carolina,45,33.8569,-80.945
2021-05-06,46,9.0,220.0,0.0,2909.0,101.0,667558.0,1,84,South Dakota,46,44.2998,-99.4388
2021-05-06,47,11.0,19.0,0.0,488.0,312.0,5319123.0,11,786,Tennessee,47,35.7478,-86.6923
2021-05-06,48,0.0,0.0,0.0,0.0,0.0,21596071.0,55,2361,Texas,48,31.0545,-97.5635
2021-05-06,49,494.0,629.0,0.0,10298.0,5925.0,2274774.0,0,395,Utah,49,40.15,-111.8624
2021-05-06,50,179.0,163.0,0.0,1943.0,2317.0,509984.0,1,49,Vermont,50,44.0459,-72.7107
2021-05-06,51,1437.0,2643.0,0.0,28619.0,16794.0,6674671.0,17,856,Virginia,51,37.7693,-78.17
2021-05-06,53,1910.0,2437.0,0.0,34780.0,25305.0,5951832.0,14,1142,Washington,53,47.4009,-121.4905
2021-05-06,54,334.0,557.0,0.0,3079.0,1760.0,1432580.0,6,385,West Virginia,54,38.4912,-80.9545
2021-05-06,55,30.0,45.0,0.0,718.0,339.0,4555837.0,18,793,Wisconsin,55,44.2685,-89.6165
2021-05-06,56,10.0,11.0,0.0,96.0,64.0,445025.0,0,89,Wyoming,56,42.756,-107.3025
